Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[win32u.dll]",6,0.01,0x76592C5C,0,0,0,0,
"[windows.storage.dll]",6,0.01,0x752350E9,0,0,0,0,
"[windows.storage.dll]",6,0.01,0x75265CDF,0,0,0,0,
"[windows.storage.dll]",6,0.01,0x752CDC33,0,0,0,0,
"FoodMazaPos.Cashier.cLOCKOUTLOGOUTToolStripMenuItem_Click",6,0.01,0x0CD5D070,"1,678",13,"1,678",25,
"FoodMazaPos.ExportToExcel.LoadGridView1",6,0.01,0x09E6AB9E,57,13,57,59,
"FoodMazaPos.ExportToExcel.LoadGridView1",6,0.01,0x09E6ABD4,58,13,58,55,
"FoodMazaPos.ExportToExcel.LoadGridView1",6,0.01,0x09E6AC91,61,13,61,56,
"FoodMazaPos.InvoiceDetails.LoadGridView",6,0.01,0x0CD56119,42,13,42,55,
"FoodMazaPos.InvoiceDetails.LoadGridView",6,0.01,0x0CD561BB,45,13,45,54,
"FoodMazaPos.InvoiceDetails.LoadGridView",6,0.01,0x0CD562C9,50,13,50,55,
"FoodMazaPos.Login.btnLogin_Click",6,0.01,0x0CD5E3DA,51,21,51,33,
"FoodMazaPos.SalesSummary.InitializeComponent",6,0.01,0x09FD3823,362,13,362,52,
"FoodMazaPos.updatestocks.dgv_1",6,0.01,0x0CD5CBE9,62,13,62,97,
"[atlthunk.dll]",5,0.01,0x5F7718A6,0,0,0,0,
"[atlthunk.dll]",5,0.01,0x5F771B7F,0,0,0,0,
"[DropboxExt.26.0.dll]",5,0.01,0x5DCDFFB6,0,0,0,0,
"[ExplorerFrame.dll]",5,0.01,0x6035D1DD,0,0,0,0,
"[ExplorerFrame.dll]",5,0.01,0x60367341,0,0,0,0,
"[kernel32.dll]",5,0.01,0x7500C919,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E05013,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E12741,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E20933,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E20EC7,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E25462,0,0,0,0,
"[KernelBase.dll]",5,0.01,0x75E305A7,0,0,0,0,
"[rpcrt4.dll]",5,0.01,0x761E6F22,0,0,0,0,
"[SHCore.dll]",5,0.01,0x774D8CBA,0,0,0,0,
"[shell32.dll]",5,0.01,0x768CBFE4,0,0,0,0,
"[shell32.dll]",5,0.01,0x7695BD96,0,0,0,0,
"[System.Drawing.ni.dll]",5,0.01,0x6D1A0D37,0,0,0,0,
"[System.Windows.Forms.DataVisualization.ni.dll]",5,0.01,0x5F2128C5,0,0,0,0,
"[uxtheme.dll]",5,0.01,0x713258E5,0,0,0,0,
"[win32u.dll]",5,0.01,0x76592CBC,0,0,0,0,
"[windows.storage.dll]",5,0.01,0x75230853,0,0,0,0,
"FoodMazaPos.Cashier.Dgv_1",5,0.01,0x030AF578,399,13,399,74,
"FoodMazaPos.Cashier.Dgv_1",5,0.01,0x030AF5E5,403,13,403,102,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,0x09E6AA90,52,13,52,53,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,0x09E6AAC6,53,13,53,54,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,0x09E6AAFC,54,13,54,57,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,0x09E6AC4F,60,13,60,55,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,0x09E6ACD3,62,13,62,55,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,0x09E6AD54,64,13,64,59,
"FoodMazaPos.Inventory.InventoryHeaderInfo",5,0.01,0x09E08E3C,306,17,306,38,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,0x0CD56025,31,13,31,28,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,0x0CD5625D,48,13,48,57,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,0x0CD56293,49,13,49,59,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,0x0CD56344,52,13,52,55,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,0x0CD564CA,58,13,58,58,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,0x0CD5654B,60,13,60,62,
"FoodMazaPos.SalesSummary.SalesEstimation",5,0.01,0x09FD3C2F,65,17,65,38,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,0x08EC60AB,304,13,304,53,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,0x08EC60E1,305,13,305,55,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,0x08EC6117,306,13,306,57,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,0x08EC614D,307,13,307,58,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,0x08EC61EF,310,13,310,55,
"FoodMazaPos.updatestocks.LoadGridView1",5,0.01,0x0CD5C8B7,33,13,33,28,
"[cfgmgr32.dll]",4,0.01,0x765B3F23,0,0,0,0,
"[combase.dll]",4,0.01,0x76410E1A,0,0,0,0,
"[DevDispItemProvider.dll]",4,0.01,0x6CEDACCE,0,0,0,0,
"[ExplorerFrame.dll]",4,0.01,0x6036725B,0,0,0,0,
"[gdi32.dll]",4,0.01,0x76EB6C49,0,0,0,0,
"[IPHLPAPI.DLL]",4,0.01,0x74CC7C6E,0,0,0,0,
"[KernelBase.dll]",4,0.01,0x75E2F6D1,0,0,0,0,
"[mscorlib.ni.dll]",4,0.01,0x7263E13F,0,0,0,0,
"[msi.dll]",4,0.01,0x706488F7,0,0,0,0,
"[msvcrt.dll]",4,0.01,0x757F8F61,0,0,0,0,
"[ntdll.dll]",4,0.01,0x779085C0,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7791A833,0,0,0,0,
"[ntdll.dll]",4,0.01,0x7792071C,0,0,0,0,
"[propsys.dll]",4,0.01,0x6FFF95F8,0,0,0,0,
"[shell32.dll]",4,0.01,0x7691CD6C,0,0,0,0,
"[shell32.dll]",4,0.01,0x769FF544,0,0,0,0,
"[shell32.dll]",4,0.01,0x76ACA8C1,0,0,0,0,
"[thumbcache.dll]",4,0.01,0x5ED80DA0,0,0,0,0,
"[thumbcache.dll]",4,0.01,0x5ED80E4B,0,0,0,0,
"[twinapi.appcore.dll]",4,0.01,0x644D7C09,0,0,0,0,
"[uxtheme.dll]",4,0.01,0x7135FDDF,0,0,0,0,
"[windows.storage.dll]",4,0.01,0x7524707B,0,0,0,0,
"[windows.storage.dll]",4,0.01,0x752A7DAB,0,0,0,0,
"[wkscli.dll]",4,0.01,0x74142F75,0,0,0,0,
"FoodMazaPos.Cashier.Dgv_1",4,0.01,0x030AF5C2,402,13,402,97,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,0x09E6AA5A,51,13,51,52,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,0x09E6AB68,56,13,56,57,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,0x09E6ADD5,66,13,66,58,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,0x09E6AE56,68,13,68,62,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,0x09E6AED7,70,13,70,54,
"FoodMazaPos.Inventory.InitializeComponent",4,0.01,0x09DFB2C8,"1,043",13,"1,043",51,
"FoodMazaPos.Inventory.InitializeComponent",4,0.01,0x09E079AE,"2,208",13,"2,208",50,
"FoodMazaPos.InvoiceDetails.InitializeComponent",4,0.01,0x0CD55D31,216,13,216,52,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,0x0CD5614F,43,13,43,52,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,0x0CD56185,44,13,44,53,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,0x0CD561F1,46,13,46,57,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,0x0CD56227,47,13,47,56,
"FoodMazaPos.InvoiceDetails.SearchInvoice_Click",4,0.01,0x0CD56CDB,139,17,139,39,
"FoodMazaPos.SalesSummary.SalesEstimation",4,0.01,0x09FD44ED,133,21,133,80,
"FoodMazaPos.Stocks.InitializeComponent",4,0.01,0x08EC5C16,337,13,337,52,
"FoodMazaPos.updatestocks.dgv_1",4,0.01,0x0CD5CB9F,59,13,59,74,
"[atlthunk.dll]",3,0.01,0x5F771B2F,0,0,0,0,
"[cfgmgr32.dll]",3,0.01,0x765BFAAC,0,0,0,0,
"[clbcatq.dll]",3,0.01,0x76614571,0,0,0,0,
"[combase.dll]",3,0.01,0x7640CAF5,0,0,0,0,
"[combase.dll]",3,0.01,0x7640CC09,0,0,0,0,
"[dui70.dll]",3,0.01,0x5EE69528,0,0,0,0,
"[dui70.dll]",3,0.01,0x5EE748DD,0,0,0,0,
"[dui70.dll]",3,0.01,0x5EE99F38,0,0,0,0,
"[duser.dll]",3,0.01,0x5EDCB5FA,0,0,0,0,
"[ExplorerFrame.dll]",3,0.01,0x6033E4D1,0,0,0,0,
"[ExplorerFrame.dll]",3,0.01,0x6034FC5A,0,0,0,0,
"[ExplorerFrame.dll]",3,0.01,0x60363C06,0,0,0,0,
"[ExplorerFrame.dll]",3,0.01,0x6037618C,0,0,0,0,
"[ExplorerFrame.dll]",3,0.01,0x603767F3,0,0,0,0,
"[gdi32.dll]",3,0.01,0x76EB6014,0,0,0,0,
"[gdi32.dll]",3,0.01,0x76EB6C88,0,0,0,0,
"[gdi32.dll]",3,0.01,0x76EB70BF,0,0,0,0,
"[gdi32full.dll]",3,0.01,0x75FFAED5,0,0,0,0,
"[kernel32.dll]",3,0.01,0x75010AB0,0,0,0,0,
"[kernel32.dll]",3,0.01,0x75010ADD,0,0,0,0,
"[kernel32.dll]",3,0.01,0x75012E21,0,0,0,0,
"[KernelBase.dll]",3,0.01,0x75E08466,0,0,0,0,
"[KernelBase.dll]",3,0.01,0x75E1FE36,0,0,0,0,
"[KernelBase.dll]",3,0.01,0x75E20135,0,0,0,0,
"[KernelBase.dll]",3,0.01,0x75E20184,0,0,0,0,
"[KernelBase.dll]",3,0.01,0x75E20FBF,0,0,0,0,
"[KernelBase.dll]",3,0.01,0x75E21E26,0,0,0,0,
"[KernelBase.dll]",3,0.01,0x75E27D7A,0,0,0,0,
"[KernelBase.dll]",3,0.01,0x75E2C451,0,0,0,0,
"[KernelBase.dll]",3,0.01,0x75E37801,0,0,0,0,
"[KernelBase.dll]",3,0.01,0x75E7545A,0,0,0,0,
"[mscorlib.ni.dll]",3,0.01,0x7265F725,0,0,0,0,
"[msftedit.dll]",3,0.01,0x5EB81121,0,0,0,0,
"[msvcrt.dll]",3,0.01,0x757F7EC0,0,0,0,0,
"[msvcrt.dll]",3,0.01,0x757F8F5C,0,0,0,0,
"[msvcrt.dll]",3,0.01,0x757FA19A,0,0,0,0,
"[msvcrt.dll]",3,0.01,0x757FA97F,0,0,0,0,
"[ntdll.dll]",3,0.01,0x778F4F28,0,0,0,0,
"[ntdll.dll]",3,0.01,0x778F4FAA,0,0,0,0,
"[ntdll.dll]",3,0.01,0x778FC85A,0,0,0,0,
"[ntdll.dll]",3,0.01,0x779346B0,0,0,0,0,
"[ole32.dll]",3,0.01,0x77592D5A,0,0,0,0,
"[propsys.dll]",3,0.01,0x6FFCCCD5,0,0,0,0,
"[rpcrt4.dll]",3,0.01,0x761E6467,0,0,0,0,
"[safemon.dll]",3,0.01,0x6F66E071,0,0,0,0,
"[SHCore.dll]",3,0.01,0x7750017A,0,0,0,0,
"[shell32.dll]",3,0.01,0x768CAC95,0,0,0,0,
"[shell32.dll]",3,0.01,0x7691D89F,0,0,0,0,
"[shell32.dll]",3,0.01,0x76ABAF65,0,0,0,0,
"[StructuredQuery.dll]",3,0.01,0x5E85B93E,0,0,0,0,
"[System.Windows.Forms.DataVisualization.ni.dll]",3,0.01,0x5F1C1AF5,0,0,0,0,
"[twinapi.appcore.dll]",3,0.01,0x64505AF2,0,0,0,0,
"[uxtheme.dll]",3,0.01,0x7132776D,0,0,0,0,
"[uxtheme.dll]",3,0.01,0x7135FDAA,0,0,0,0,
"[win32u.dll]",3,0.01,0x7659309C,0,0,0,0,
"[windows.storage.dll]",3,0.01,0x751D17D6,0,0,0,0,
"[windows.storage.dll]",3,0.01,0x75235394,0,0,0,0,
"[windows.storage.dll]",3,0.01,0x7526E3FB,0,0,0,0,
"[windows.storage.dll]",3,0.01,0x752C1893,0,0,0,0,
"[windows.storage.dll]",3,0.01,0x752FCA74,0,0,0,0,
"[WindowsCodecs.dll]",3,0.01,0x6F4850EA,0,0,0,0,
"[wkscli.dll]",3,0.01,0x74142EF3,0,0,0,0,
"FoodMazaPos.Cashier.Dgv_1",3,0.01,0x030AF65B,410,13,410,88,
"FoodMazaPos.Inventory.InitializeComponent",3,0.01,0x09E0820A,"2,310",13,"2,310",38,
"FoodMazaPos.InvoiceDetails.LoadGridView",3,0.01,0x0CD565CC,62,13,62,54,
"FoodMazaPos.SalesSummary.SalesEstimation",3,0.01,0x09FD4083,96,17,96,38,
"FoodMazaPos.updatestocks.InitializeComponent",3,0.01,0x0CD5C750,301,13,301,52,
"FoodMazaPos.updatestocks.LoadGridView1",3,0.01,0x0CD5CA4D,47,13,47,58,
"FoodMazaPos.updatestocks.LoadGridView1",3,0.01,0x0CD5CA83,48,13,48,59,
"FoodMazaPos.updatestocks.LoadGridView1",3,0.01,0x0CD5CAB9,49,13,49,55,
"[advapi32.dll]",2,0.00,0x756ECD26,0,0,0,0,
"[atlthunk.dll]",2,0.00,0x5F771A3F,0,0,0,0,
"[atlthunk.dll]",2,0.00,0x5F771BCF,0,0,0,0,
"[clr.dll]",2,0.00,0x73A1EB04,0,0,0,0,
"[combase.dll]",2,0.00,0x7639DBA0,0,0,0,0,
"[combase.dll]",2,0.00,0x763E8B6A,0,0,0,0,
"[comctl32.dll]",2,0.00,0x70D1727C,0,0,0,0,
"[comctl32.dll]",2,0.00,0x70D2B528,0,0,0,0,
"[comctl32.dll]",2,0.00,0x70D3C01D,0,0,0,0,
"[dlnashext.dll]",2,0.00,0x6CF634A3,0,0,0,0,
"[DropboxExt.26.0.dll]",2,0.00,0x5DCDFFD1,0,0,0,0,
"[dui70.dll]",2,0.00,0x5EE74385,0,0,0,0,
"[dui70.dll]",2,0.00,0x5EE7A7A9,0,0,0,0,
"[duser.dll]",2,0.00,0x5EDCA5C2,0,0,0,0,
"[duser.dll]",2,0.00,0x5EDCB9D6,0,0,0,0,
"[duser.dll]",2,0.00,0x5EDD0610,0,0,0,0,
"[duser.dll]",2,0.00,0x5EDD28E1,0,0,0,0,
"[duser.dll]",2,0.00,0x5EDD2917,0,0,0,0,
"[duser.dll]",2,0.00,0x5EDD292E,0,0,0,0,
"[ExplorerFrame.dll]",2,0.00,0x603534C4,0,0,0,0,
"[ExplorerFrame.dll]",2,0.00,0x6035351E,0,0,0,0,
"[ExplorerFrame.dll]",2,0.00,0x6035CAB6,0,0,0,0,
"[ExplorerFrame.dll]",2,0.00,0x6035CB60,0,0,0,0,
"[ExplorerFrame.dll]",2,0.00,0x6035D238,0,0,0,0,
"[ExplorerFrame.dll]",2,0.00,0x6035D2D4,0,0,0,0,
"[ExplorerFrame.dll]",2,0.00,0x603615ED,0,0,0,0,
"[gdi32.dll]",2,0.00,0x76EB44D2,0,0,0,0,
"[gdi32.dll]",2,0.00,0x76EB6D42,0,0,0,0,
"[gdi32.dll]",2,0.00,0x76EB73EF,0,0,0,0,
"[gdi32full.dll]",2,0.00,0x75FE1C9E,0,0,0,0,
"[IPHLPAPI.DLL]",2,0.00,0x74CCCDCC,0,0,0,0,
"[kernel32.dll]",2,0.00,0x7500EF42,0,0,0,0,
"[kernel32.dll]",2,0.00,0x7500EF43,0,0,0,0,
"[kernel32.dll]",2,0.00,0x750105B4,0,0,0,0,
"[KernelBase.dll]",2,0.00,0x75E11FDE,0,0,0,0,
"[KernelBase.dll]",2,0.00,0x75E1F06B,0,0,0,0,
"[KernelBase.dll]",2,0.00,0x75E20AE2,0,0,0,0,
"[KernelBase.dll]",2,0.00,0x75E20CDE,0,0,0,0,
"[KernelBase.dll]",2,0.00,0x75E299A7,0,0,0,0,
"[KernelBase.dll]",2,0.00,0x75E2A830,0,0,0,0,
"[KernelBase.dll]",2,0.00,0x75E2B6F8,0,0,0,0,
"[KernelBase.dll]",2,0.00,0x75E2F68F,0,0,0,0,
"[msftedit.dll]",2,0.00,0x5EB1A145,0,0,0,0,
"[msvcrt.dll]",2,0.00,0x757CDCC1,0,0,0,0,
"[msvcrt.dll]",2,0.00,0x757F8F10,0,0,0,0,
"[msvcrt.dll]",2,0.00,0x757F8F67,0,0,0,0,
"[msvcrt.dll]",2,0.00,0x757F8F75,0,0,0,0,
"[msvcrt.dll]",2,0.00,0x757F8F84,0,0,0,0,
"[msvcrt.dll]",2,0.00,0x757F8F8C,0,0,0,0,
"[msvcrt.dll]",2,0.00,0x757F8F8D,0,0,0,0,
"[msvcrt.dll]",2,0.00,0x757F8F94,0,0,0,0,
"[msvcrt.dll]",2,0.00,0x757F8F95,0,0,0,0,
"[msvcrt.dll]",2,0.00,0x757FA55E,0,0,0,0,
"[msvcrt.dll]",2,0.00,0x757FA6BB,0,0,0,0,
"[ntdll.dll]",2,0.00,0x778E0912,0,0,0,0,
"[ntdll.dll]",2,0.00,0x778F1F02,0,0,0,0,
"[ntdll.dll]",2,0.00,0x778F1F09,0,0,0,0,
"[ntdll.dll]",2,0.00,0x778F521A,0,0,0,0,
"[ntdll.dll]",2,0.00,0x778FFDF0,0,0,0,0,
"[ntdll.dll]",2,0.00,0x778FFFF2,0,0,0,0,
"[ntdll.dll]",2,0.00,0x77900002,0,0,0,0,
"[ntdll.dll]",2,0.00,0x77909D80,0,0,0,0,
"[ntdll.dll]",2,0.00,0x779205AC,0,0,0,0,
"[ntdll.dll]",2,0.00,0x77921A6C,0,0,0,0,
"[ntdll.dll]",2,0.00,0x779228A7,0,0,0,0,
"[ntdll.dll]",2,0.00,0x779343A0,0,0,0,0,
"[ntdll.dll]",2,0.00,0x779353D5,0,0,0,0,
"[oleacc.dll]",2,0.00,0x6FF4FAB0,0,0,0,0,
"[policymanager.dll]",2,0.00,0x5E2F0185,0,0,0,0,
"[rpcrt4.dll]",2,0.00,0x761F611D,0,0,0,0,
"[rpcrt4.dll]",2,0.00,0x7621E0DE,0,0,0,0,
"[SHCore.dll]",2,0.00,0x774D9DBB,0,0,0,0,
"[shell32.dll]",2,0.00,0x768CAD43,0,0,0,0,
"[shell32.dll]",2,0.00,0x768CC647,0,0,0,0,
"[shell32.dll]",2,0.00,0x7691CC13,0,0,0,0,
"[shell32.dll]",2,0.00,0x769292B9,0,0,0,0,
"[shell32.dll]",2,0.00,0x769298F4,0,0,0,0,
"[shell32.dll]",2,0.00,0x769C22D2,0,0,0,0,
"[System.Data.ni.dll]",2,0.00,0x6501DA1D,0,0,0,0,
"[System.Drawing.ni.dll]",2,0.00,0x6D1A0EAF,0,0,0,0,
"[System.Windows.Forms.DataVisualization.ni.dll]",2,0.00,0x5F1C0AAA,0,0,0,0,
"[System.Windows.Forms.DataVisualization.ni.dll]",2,0.00,0x5F1C1591,0,0,0,0,
"[System.Windows.Forms.DataVisualization.ni.dll]",2,0.00,0x5F226157,0,0,0,0,
"[thumbcache.dll]",2,0.00,0x5ED80D23,0,0,0,0,
"[thumbcache.dll]",2,0.00,0x5EDA5C87,0,0,0,0,
"[user32.dll]",2,0.00,0x7586864E,0,0,0,0,
"[uxtheme.dll]",2,0.00,0x713286A5,0,0,0,0,
"[uxtheme.dll]",2,0.00,0x7132EBDD,0,0,0,0,
"[uxtheme.dll]",2,0.00,0x7132FFED,0,0,0,0,
"[uxtheme.dll]",2,0.00,0x7133968F,0,0,0,0,
"[uxtheme.dll]",2,0.00,0x7134DF66,0,0,0,0,
"[uxtheme.dll]",2,0.00,0x7134DF82,0,0,0,0,
"[win32u.dll]",2,0.00,0x7659342C,0,0,0,0,
"[win32u.dll]",2,0.00,0x7659385C,0,0,0,0,
"[windows.storage.dll]",2,0.00,0x751B94E4,0,0,0,0,
"[windows.storage.dll]",2,0.00,0x75201B88,0,0,0,0,
"[windows.storage.dll]",2,0.00,0x75231EF3,0,0,0,0,
"[windows.storage.dll]",2,0.00,0x75237E4F,0,0,0,0,
"[WindowsCodecs.dll]",2,0.00,0x6F498065,0,0,0,0,
"[WMVCORE.DLL]",2,0.00,0x5D88DEA5,0,0,0,0,
"[xmllite.dll]",2,0.00,0x716CF67B,0,0,0,0,
"FoodMazaPos.About.InitializeComponent",2,0.00,0x09FD68CD,71,13,71,42,
"FoodMazaPos.About.InitializeComponent",2,0.00,0x09FD6972,73,13,73,72,
"FoodMazaPos.Cashier.btnRefresh_Click",2,0.00,0x0CD53D64,"1,490",13,"1,490",31,
"FoodMazaPos.Cashier.Dgv_1",2,0.00,0x030AF67E,413,13,413,93,
"FoodMazaPos.Cashier.InitializeComponent",2,0.00,0x030AA1D5,937,13,937,45,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",2,0.00,0x09E69BF5,22,13,22,21,
"FoodMazaPos.ExportToExcel.LoadGridView6",2,0.00,0x09E6B8A4,161,13,161,34,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09DF18DD,161,13,161,65,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E00395,"1,507",13,"1,507",77,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E040A5,"1,849",13,"1,849",41,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E057DE,"1,975",13,"1,975",51,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E06085,"2,020",13,"2,020",69,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E07B01,"2,224",13,"2,224",53,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E07BD3,"2,234",13,"2,234",52,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E07BE9,"2,235",13,"2,235",56,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E07C52,"2,240",13,"2,240",56,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E07C68,"2,241",13,"2,241",43,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E07C94,"2,243",13,"2,243",56,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E07D13,"2,249",13,"2,249",53,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E07DE5,"2,259",13,"2,259",53,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E07E63,"2,265",13,"2,265",53,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,0x09E0815C,"2,301",13,"2,301",53,
"FoodMazaPos.Inventory.InventoryHeaderInfo",2,0.00,0x09E08A2F,281,17,281,38,
"FoodMazaPos.Inventory.InventoryHeaderInfo",2,0.00,0x09E09C72,420,17,420,38,
"FoodMazaPos.Inventory.InventoryHeaderInfo",2,0.00,0x09E09EA9,440,17,440,38,
"FoodMazaPos.Inventory.LoadGridView2",2,0.00,0x09E0B7FC,187,13,187,34,
"FoodMazaPos.Inventory.LoadGridView3",2,0.00,0x09E0BAA4,209,13,209,34,
"FoodMazaPos.Inventory.LoadGridView4",2,0.00,0x09E0BD27,230,13,230,34,
"FoodMazaPos.InvoiceDetails.InvoiceDetails_Load",2,0.00,0x0CD55DE5,26,13,26,25,
"FoodMazaPos.SalesSummary.SalesEstimation",2,0.00,0x09FD449D,127,17,127,38,
"FoodMazaPos.SalesSummary.SalesEstimation",2,0.00,0x09FD493C,158,17,158,38,
"FoodMazaPos.Stocks..ctor",2,0.00,0x09E0E472,22,13,22,35,
"FoodMazaPos.Stocks.dgv_1",2,0.00,0x08EC5E79,322,13,322,97,
"FoodMazaPos.Stocks.InitializeComponent",2,0.00,0x08EC2FE1,102,13,102,158,
"FoodMazaPos.updatestocks..ctor",2,0.00,0x0CD597CA,21,13,21,35,
"FoodMazaPos.updatestocks.dgv_1",2,0.00,0x0CD5CC82,70,13,70,88,
"FoodMazaPos.updatestocks.dgv_1",2,0.00,0x0CD5CCA5,73,13,73,93,
"FoodMazaPos.updatestocks.LoadGridView1",2,0.00,0x0CD5C9AB,44,13,44,53,
"FoodMazaPos.updatestocks.LoadGridView1",2,0.00,0x0CD5CA17,46,13,46,57,
"FoodMazaPos.updatestocks.LoadGridView1",2,0.00,0x0CD5CAEF,50,13,50,55,
"[atlthunk.dll]",1,0.00,0x5F771806,0,0,0,0,
"[atlthunk.dll]",1,0.00,0x5F771979,0,0,0,0,
"[atlthunk.dll]",1,0.00,0x5F771B09,0,0,0,0,
"[cfgmgr32.dll]",1,0.00,0x765BC35D,0,0,0,0,
"[cfgmgr32.dll]",1,0.00,0x765BDB98,0,0,0,0,
"[cfgmgr32.dll]",1,0.00,0x765BF618,0,0,0,0,
"[clbcatq.dll]",1,0.00,0x7660DD27,0,0,0,0,
"[clr.dll]",1,0.00,0x737CEC22,0,0,0,0,
"[clr.dll]",1,0.00,0x737CED50,0,0,0,0,
"[clr.dll]",1,0.00,0x737D983D,0,0,0,0,
"[clr.dll]",1,0.00,0x737D9895,0,0,0,0,
"[combase.dll]",1,0.00,0x7639DD76,0,0,0,0,
"[combase.dll]",1,0.00,0x763CFE41,0,0,0,0,
"[combase.dll]",1,0.00,0x763D0CF2,0,0,0,0,
"[combase.dll]",1,0.00,0x763D1C28,0,0,0,0,
"[combase.dll]",1,0.00,0x763DA88F,0,0,0,0,
