Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[System.Windows.Forms.ni.dll]","13,782",32.97,"35,335",84.52,0,0,0,0,
"[windows.storage.dll]","3,212",7.68,"5,032",12.04,0,0,0,0,
"[KernelBase.dll]","3,048",7.29,"3,059",7.32,0,0,0,0,
"[System.Drawing.ni.dll]","2,716",6.50,"12,676",30.32,0,0,0,0,
"[clr.dll]","2,091",5.00,"2,091",5.00,0,0,0,0,
"[shell32.dll]","1,758",4.21,"4,125",9.87,0,0,0,0,
"[dui70.dll]","1,417",3.39,"3,813",9.12,0,0,0,0,
"[user32.dll]","1,051",2.51,"9,607",22.98,0,0,0,0,
"[comctl32.dll]","1,024",2.45,"3,380",8.08,0,0,0,0,
"[cfgmgr32.dll]",586,1.40,586,1.40,0,0,0,0,
"[combase.dll]",571,1.37,"1,253",3.00,0,0,0,0,
"[win32u.dll]",523,1.25,524,1.25,0,0,0,0,
"FoodMazaPos.Cashier.aAAToolStripMenuItem_Click",504,1.21,593,1.42,"1,595",13,"1,595",30,
"[mscorlib.ni.dll]",501,1.20,501,1.20,0,0,0,0,
"[ntdll.dll]",474,1.13,"1,589",3.80,0,0,0,0,
"[duser.dll]",415,0.99,"4,030",9.64,0,0,0,0,
"[DropboxExt.26.0.dll]",363,0.87,915,2.19,0,0,0,0,
"FoodMazaPos.InvoiceDetails.LoadGridView",343,0.82,343,0.82,39,13,39,34,
"[System.Data.ni.dll]",341,0.82,341,0.82,0,0,0,0,
"FoodMazaPos.ExportToExcel.LoadGridView1",331,0.79,331,0.79,47,13,47,34,
"[ExplorerFrame.dll]",293,0.70,"8,982",21.48,0,0,0,0,
"FoodMazaPos.Inventory.label_Stock_Click",274,0.66,277,0.66,30,13,30,48,
"FoodMazaPos.Cashier.bBBBToolStripMenuItem_Click",262,0.63,483,1.16,"1,719",13,"1,719",23,
"FoodMazaPos.Stocks.LoadGridView1",249,0.60,249,0.60,301,13,301,34,
"FoodMazaPos.Cashier.Loadproducts",241,0.58,246,0.59,682,33,682,68,
"FoodMazaPos.Stocks.btnUpdate_Click",228,0.55,228,0.55,241,21,241,54,
"[uxtheme.dll]",225,0.54,638,1.53,0,0,0,0,
"FoodMazaPos.Inventory.label_Product_Click",221,0.53,222,0.53,35,13,35,48,
"FoodMazaPos.Inventory.label_Category_Click",209,0.50,210,0.50,40,13,40,48,
"[rpcrt4.dll]",190,0.45,191,0.46,0,0,0,0,
"FoodMazaPos.Login.btnLogin_Click",188,0.45,838,2.00,52,21,52,33,
"[SHCore.dll]",163,0.39,788,1.88,0,0,0,0,
"FoodMazaPos.Inventory.label_Report_Click",162,0.39,163,0.39,45,13,45,48,
"[propsys.dll]",141,0.34,175,0.42,0,0,0,0,
"FoodMazaPos.Cashier.Loadcategory",140,0.33,144,0.34,485,33,485,69,
"[msvcrt.dll]",137,0.33,137,0.33,0,0,0,0,
"[ntdll.dll]",131,0.31,131,0.31,0,0,0,0,
"[IPHLPAPI.DLL]",124,0.30,244,0.58,0,0,0,0,
"FoodMazaPos.Cashier.eXPORTTOEXCELToolStripMenuItem_Click",122,0.29,626,1.50,"1,731",13,"1,731",27,
"FoodMazaPos.InvoiceDetails.SearchInvoice_Click",116,0.28,116,0.28,121,17,121,38,
"[clbcatq.dll]",107,0.26,"1,891",4.52,0,0,0,0,
"FoodMazaPos.Cashier.Timercheckingstock",106,0.25,255,0.61,193,21,193,40,
"FoodMazaPos.Cashier.label3Click",102,0.24,104,0.25,582,33,582,68,
"FoodMazaPos.Cashier.btnRefresh_Click",97,0.23,97,0.23,"1,491",13,"1,491",28,
"FoodMazaPos.Inventory.label_Dashboard_Click",93,0.22,93,0.22,25,13,25,48,
"FoodMazaPos.Cashier.Dispose",90,0.22,139,0.33,20,13,20,37,
"FoodMazaPos.Stocks.LoadGridView1",90,0.22,90,0.22,293,13,293,28,
"FoodMazaPos.Cashier.Timercheckingstock",89,0.21,89,0.21,188,17,189,96,
"[gdi32.dll]",85,0.20,85,0.20,0,0,0,0,
"[System.Windows.Forms.DataVisualization.ni.dll]",79,0.19,79,0.19,0,0,0,0,
"FoodMazaPos.Cashier.sEARCHINVOICESToolStripMenuItem_Click",77,0.18,585,1.40,"1,701",13,"1,701",23,
"FoodMazaPos.Cashier.sALESSUMMARYToolStripMenuItem_Click",73,0.17,281,0.67,"1,725",13,"1,725",23,
"FoodMazaPos.Inventory.Dispose",73,0.17,73,0.17,20,13,20,37,
"[atlthunk.dll]",67,0.16,"1,559",3.73,0,0,0,0,
"FoodMazaPos.updatestocks.LoadGridView1",61,0.15,61,0.15,41,13,41,34,
"[dfdll.dll]",59,0.14,286,0.68,0,0,0,0,
"FoodMazaPos.Cashier.cLOCKOUTLOGOUTToolStripMenuItem_Click",54,0.13,55,0.13,"1,679",13,"1,679",26,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",47,0.11,469,1.12,29,13,29,29,
"[kernel32.dll]",39,0.09,39,0.09,0,0,0,0,
"FoodMazaPos.InvoiceDetails.InvoiceDetails_Load",39,0.09,478,1.14,25,13,25,28,
"[thumbcache.dll]",37,0.09,871,2.08,0,0,0,0,
"FoodMazaPos.Cashier.aBOUTToolStripMenuItem_Click",37,0.09,37,0.09,"1,737",13,"1,737",26,
"FoodMazaPos.updatestocks.ToFillGridview",37,0.09,37,0.09,161,17,161,38,
"FoodMazaPos.Cashier.InitializeComponent",34,0.08,34,0.08,102,13,102,87,
"FoodMazaPos.SalesSummary.SalesEstimation",34,0.08,34,0.08,164,21,164,80,
"[ole32.dll]",27,0.06,74,0.18,0,0,0,0,
"[shlwapi.dll]",26,0.06,370,0.89,0,0,0,0,
"FoodMazaPos.Cashier.btnRefresh_Click",26,0.06,26,0.06,"1,498",13,"1,498",47,
"FoodMazaPos.Cashier.label3Click",25,0.06,25,0.06,500,13,500,47,
"FoodMazaPos.Inventory.InventoryHeaderInfo",25,0.06,25,0.06,310,21,310,80,
"[msctf.dll]",21,0.05,21,0.05,0,0,0,0,
"[gdi32full.dll]",20,0.05,20,0.05,0,0,0,0,
"FoodMazaPos.Cashier.btnRefresh_Click",19,0.05,19,0.05,"1,500",13,"1,500",47,
"FoodMazaPos.Cashier.InitializeComponent",19,0.05,19,0.05,105,13,105,88,
"[StructuredQuery.dll]",18,0.04,26,0.06,0,0,0,0,
"FoodMazaPos.SalesSummary.SalesEstimation",18,0.04,18,0.04,102,21,102,80,
"FoodMazaPos.Stocks.Dispose",17,0.04,17,0.04,20,13,20,37,
"[nsi.dll]",16,0.04,16,0.04,0,0,0,0,
"FoodMazaPos.SalesSummary.Dispose",15,0.04,15,0.04,20,13,20,37,
"FoodMazaPos.SalesSummary.Loadproducts",15,0.04,15,0.04,279,37,279,72,
"FoodMazaPos.SalesSummary.SalesEstimation",15,0.04,16,0.04,71,21,71,80,
"[twinapi.appcore.dll]",14,0.03,34,0.08,0,0,0,0,
"FoodMazaPos.Inventory.InitializeComponent",14,0.03,14,0.03,"2,218",13,"2,218",53,
"FoodMazaPos.updatestocks.Dispose",14,0.03,14,0.03,20,13,20,37,
"FoodMazaPos.Cashier.labelClick",12,0.03,12,0.03,725,17,725,48,
"FoodMazaPos.InvoiceDetails.calculate",12,0.03,12,0.03,101,17,101,79,
"FoodMazaPos.Inventory..ctor",11,0.03,132,0.32,19,13,19,35,
"[msftedit.dll]",10,0.02,168,0.40,0,0,0,0,
"FoodMazaPos.Cashier.labelClick",10,0.02,10,0.02,736,25,736,57,
"FoodMazaPos.Cashier.labelClick",10,0.02,10,0.02,744,25,744,77,
"FoodMazaPos.Inventory.InventoryHeaderInfo",10,0.02,10,0.02,258,17,258,38,
"FoodMazaPos.InvoiceDetails.dgv_1",10,0.02,10,0.02,75,13,75,97,
"FoodMazaPos.SalesSummary.Loadproducts",10,0.02,10,0.02,280,37,280,60,
"[mscoree.dll]",9,0.02,9,0.02,0,0,0,0,
"FoodMazaPos.ExportToExcel.Dispose",9,0.02,9,0.02,20,13,20,37,
"FoodMazaPos.ExportToExcel.LoadGridView1",9,0.02,9,0.02,50,13,50,55,
"FoodMazaPos.SalesSummary.Loadproducts",9,0.02,9,0.02,282,37,282,62,
"[safemon.dll]",8,0.02,57,0.14,0,0,0,0,
"[ucrtbase.dll]",8,0.02,8,0.02,0,0,0,0,
"[wkscli.dll]",8,0.02,8,0.02,0,0,0,0,
"FoodMazaPos.About.Dispose",8,0.02,8,0.02,20,13,20,37,
"FoodMazaPos.Cashier.dgv1_CellEndEdit",8,0.02,8,0.02,776,17,776,71,
"FoodMazaPos.ExportToExcel.LoadGridView1",8,0.02,8,0.02,55,13,55,56,
"FoodMazaPos.InvoiceDetails.Dispose",8,0.02,8,0.02,20,13,20,37,
"FoodMazaPos.InvoiceDetails.LoadGridView",8,0.02,8,0.02,54,13,54,55,
"FoodMazaPos.SalesSummary.InitializeComponent",8,0.02,8,0.02,364,13,364,52,
"FoodMazaPos.SalesSummary.Loadproducts",8,0.02,8,0.02,232,49,232,107,
"FoodMazaPos.SalesSummary.Loadproducts",8,0.02,8,0.02,281,37,281,62,
"[PlayToDevice.dll]",7,0.02,966,2.31,0,0,0,0,
"[WindowsCodecs.dll]",7,0.02,7,0.02,0,0,0,0,
"FoodMazaPos.About..ctor",7,0.02,38,0.09,18,13,18,35,
"FoodMazaPos.Inventory..ctor",7,0.02,560,1.34,18,13,18,35,
"FoodMazaPos.InvoiceDetails.LoadGridView",7,0.02,7,0.02,53,13,53,56,
"FoodMazaPos.InvoiceDetails.LoadGridView",7,0.02,7,0.02,56,13,56,59,
"FoodMazaPos.SalesSummary.SalesSummary_Load",7,0.02,126,0.30,46,13,46,31,
"FoodMazaPos.Stocks.LoadGridView1",7,0.02,7,0.02,308,13,308,59,
"FoodMazaPos.Stocks.LoadGridView1",7,0.02,7,0.02,309,13,309,55,
"FoodMazaPos.updatestocks.dgv_1",7,0.02,7,0.02,63,13,63,102,
"[dlnashext.dll]",6,0.01,663,1.59,0,0,0,0,
"[msi.dll]",6,0.01,137,0.33,0,0,0,0,
"[sechost.dll]",6,0.01,6,0.01,0,0,0,0,
"FoodMazaPos.Cashier.cLOCKOUTLOGOUTToolStripMenuItem_Click",6,0.01,6,0.01,"1,678",13,"1,678",25,
"FoodMazaPos.ExportToExcel.LoadGridView1",6,0.01,6,0.01,57,13,57,59,
"FoodMazaPos.ExportToExcel.LoadGridView1",6,0.01,6,0.01,58,13,58,55,
"FoodMazaPos.ExportToExcel.LoadGridView1",6,0.01,6,0.01,61,13,61,56,
"FoodMazaPos.InvoiceDetails.LoadGridView",6,0.01,6,0.01,42,13,42,55,
"FoodMazaPos.InvoiceDetails.LoadGridView",6,0.01,6,0.01,45,13,45,54,
"FoodMazaPos.InvoiceDetails.LoadGridView",6,0.01,6,0.01,50,13,50,55,
"FoodMazaPos.Login.btnLogin_Click",6,0.01,6,0.01,51,21,51,33,
"FoodMazaPos.SalesSummary.InitializeComponent",6,0.01,6,0.01,362,13,362,52,
"FoodMazaPos.updatestocks.dgv_1",6,0.01,6,0.01,62,13,62,97,
"[Windows.Storage.Search.dll]",5,0.01,8,0.02,0,0,0,0,
"FoodMazaPos.Cashier.Dgv_1",5,0.01,5,0.01,399,13,399,74,
"FoodMazaPos.Cashier.Dgv_1",5,0.01,5,0.01,403,13,403,102,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,5,0.01,52,13,52,53,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,5,0.01,53,13,53,54,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,5,0.01,54,13,54,57,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,5,0.01,60,13,60,55,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,5,0.01,62,13,62,55,
"FoodMazaPos.ExportToExcel.LoadGridView1",5,0.01,5,0.01,64,13,64,59,
"FoodMazaPos.Inventory.InventoryHeaderInfo",5,0.01,5,0.01,306,17,306,38,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,5,0.01,31,13,31,28,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,5,0.01,48,13,48,57,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,5,0.01,49,13,49,59,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,5,0.01,52,13,52,55,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,5,0.01,58,13,58,58,
"FoodMazaPos.InvoiceDetails.LoadGridView",5,0.01,5,0.01,60,13,60,62,
"FoodMazaPos.SalesSummary.SalesEstimation",5,0.01,5,0.01,65,17,65,38,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,5,0.01,304,13,304,53,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,5,0.01,305,13,305,55,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,5,0.01,306,13,306,57,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,5,0.01,307,13,307,58,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,5,0.01,310,13,310,55,
"FoodMazaPos.updatestocks.LoadGridView1",5,0.01,5,0.01,33,13,33,28,
"[DevDispItemProvider.dll]",4,0.01,93,0.22,0,0,0,0,
"[msftedit.dll]",4,0.01,6,0.01,0,0,0,0,
"[winspool.drv]",4,0.01,"10,335",24.72,0,0,0,0,
"[WMVCORE.DLL]",4,0.01,6,0.01,0,0,0,0,
"FoodMazaPos.Cashier.Dgv_1",4,0.01,4,0.01,402,13,402,97,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,4,0.01,51,13,51,52,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,4,0.01,56,13,56,57,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,4,0.01,66,13,66,58,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,4,0.01,68,13,68,62,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,4,0.01,70,13,70,54,
"FoodMazaPos.Inventory.InitializeComponent",4,0.01,4,0.01,"1,043",13,"1,043",51,
"FoodMazaPos.Inventory.InitializeComponent",4,0.01,4,0.01,"2,208",13,"2,208",50,
"FoodMazaPos.InvoiceDetails.InitializeComponent",4,0.01,4,0.01,216,13,216,52,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,4,0.01,43,13,43,52,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,4,0.01,44,13,44,53,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,4,0.01,46,13,46,57,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,4,0.01,47,13,47,56,
"FoodMazaPos.InvoiceDetails.SearchInvoice_Click",4,0.01,4,0.01,139,17,139,39,
"FoodMazaPos.SalesSummary.SalesEstimation",4,0.01,4,0.01,133,21,133,80,
"FoodMazaPos.Stocks.InitializeComponent",4,0.01,4,0.01,337,13,337,52,
"FoodMazaPos.updatestocks.dgv_1",4,0.01,4,0.01,59,13,59,74,
"[msftedit.dll]",3,0.01,7,0.02,0,0,0,0,
"[OneCoreUAPCommonProxyStub.dll]",3,0.01,7,0.02,0,0,0,0,
"[System.ni.dll]",3,0.01,3,0.01,0,0,0,0,
"[xmllite.dll]",3,0.01,5,0.01,0,0,0,0,
"FoodMazaPos.Cashier.Dgv_1",3,0.01,3,0.01,410,13,410,88,
"FoodMazaPos.Inventory.InitializeComponent",3,0.01,3,0.01,"2,310",13,"2,310",38,
"FoodMazaPos.InvoiceDetails.LoadGridView",3,0.01,3,0.01,62,13,62,54,
"FoodMazaPos.SalesSummary.SalesEstimation",3,0.01,3,0.01,96,17,96,38,
"FoodMazaPos.updatestocks.InitializeComponent",3,0.01,3,0.01,301,13,301,52,
"FoodMazaPos.updatestocks.LoadGridView1",3,0.01,3,0.01,47,13,47,58,
"FoodMazaPos.updatestocks.LoadGridView1",3,0.01,3,0.01,48,13,48,59,
"FoodMazaPos.updatestocks.LoadGridView1",3,0.01,3,0.01,49,13,49,55,
"[advapi32.dll]",2,0.00,2,0.00,0,0,0,0,
"[oleacc.dll]",2,0.00,8,0.02,0,0,0,0,
"[policymanager.dll]",2,0.00,89,0.21,0,0,0,0,
"[Windows.Globalization.dll]",2,0.00,4,0.01,0,0,0,0,
"[xmllite.dll]",2,0.00,4,0.01,0,0,0,0,
"[xmllite.dll]",2,0.00,2,0.00,0,0,0,0,
"FoodMazaPos.About.InitializeComponent",2,0.00,2,0.00,71,13,71,42,
"FoodMazaPos.About.InitializeComponent",2,0.00,2,0.00,73,13,73,72,
"FoodMazaPos.Cashier.btnRefresh_Click",2,0.00,2,0.00,"1,490",13,"1,490",31,
"FoodMazaPos.Cashier.Dgv_1",2,0.00,2,0.00,413,13,413,93,
"FoodMazaPos.Cashier.InitializeComponent",2,0.00,2,0.00,937,13,937,45,
"FoodMazaPos.Cashier.Loadproducts",2,0.00,3,0.01,667,33,677,35,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",2,0.00,3,0.01,22,13,22,21,
"FoodMazaPos.ExportToExcel.LoadGridView6",2,0.00,2,0.00,161,13,161,34,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,161,13,161,65,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"1,507",13,"1,507",77,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"1,849",13,"1,849",41,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"1,975",13,"1,975",51,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,020",13,"2,020",69,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,224",13,"2,224",53,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,234",13,"2,234",52,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,235",13,"2,235",56,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,240",13,"2,240",56,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,241",13,"2,241",43,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,243",13,"2,243",56,
