Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[audiodev.dll]",0,0.00,3,0.01,0,0,0,0,
"[audiodev.dll]",0,0.00,1,0.00,0,0,0,0,
"[cldapi.dll]",0,0.00,1,0.00,0,0,0,0,
"[comdlg32.dll]",0,0.00,"9,844",23.55,0,0,0,0,
"[DataExchange.dll]",0,0.00,22,0.05,0,0,0,0,
"[devobj.dll]",0,0.00,5,0.01,0,0,0,0,
"[dfshim.dll]",0,0.00,938,2.24,0,0,0,0,
"[dxgi.dll]",0,0.00,1,0.00,0,0,0,0,
"[mdnsNSP.dll]",0,0.00,2,0.00,0,0,0,0,
"[mpr.dll]",0,0.00,28,0.07,0,0,0,0,
"[msftedit.dll]",0,0.00,1,0.00,0,0,0,0,
"[ntlanman.dll]",0,0.00,9,0.02,0,0,0,0,
"[PhotoMetadataHandler.dll]",0,0.00,1,0.00,0,0,0,0,
"[PortableDeviceApi.dll]",0,0.00,8,0.02,0,0,0,0,
"[provsvc.dll]",0,0.00,1,0.00,0,0,0,0,
"[tiptsf.dll]",0,0.00,7,0.02,0,0,0,0,
"[Windows.StateRepositoryPS.dll]",0,0.00,2,0.00,0,0,0,0,
"[WMVCORE.DLL]",0,0.00,1,0.00,0,0,0,0,
"[WMVCORE.DLL]",0,0.00,1,0.00,0,0,0,0,
"[wpdshext.dll]",0,0.00,51,0.12,0,0,0,0,
"FoodMazaPos.About.InitializeComponent",0,0.00,1,0.00,82,13,82,167,
"FoodMazaPos.About.InitializeComponent",0,0.00,1,0.00,119,13,119,131,
"FoodMazaPos.Cashier..ctor",0,0.00,2,0.00,205,13,205,34,
"FoodMazaPos.Cashier.aAAToolStripMenuItem_Click",0,0.00,720,1.72,"1,594",13,"1,594",51,
"FoodMazaPos.Cashier.aBOUTToolStripMenuItem_Click",0,0.00,38,0.09,"1,736",13,"1,736",39,
"FoodMazaPos.Cashier.Appstatus",0,0.00,1,0.00,224,17,224,37,
"FoodMazaPos.Cashier.bBBBToolStripMenuItem_Click",0,0.00,156,0.37,"1,718",13,"1,718",38,
"FoodMazaPos.Cashier.btnRefresh_Click",0,0.00,820,1.96,"1,501",13,"1,501",28,
"FoodMazaPos.Cashier.button1_Click",0,0.00,10,0.02,"1,050",21,"1,050",41,
"FoodMazaPos.Cashier.button1_Click",0,0.00,1,0.00,"1,062",25,"1,062",49,
"FoodMazaPos.Cashier.button1_Click",0,0.00,1,0.00,"1,083",25,"1,083",48,
"FoodMazaPos.Cashier.button1_Click",0,0.00,1,0.00,"1,141",45,"1,141",68,
"FoodMazaPos.Cashier.button1_Click",0,0.00,"1,662",3.98,"1,149",25,"1,149",50,
"FoodMazaPos.Cashier.button1_Click",0,0.00,"6,042",14.45,"1,160",25,"1,160",49,
"FoodMazaPos.Cashier.button1_Click",0,0.00,"3,948",9.44,"1,172",25,"1,172",50,
"FoodMazaPos.Cashier.button1_Click",0,0.00,459,1.10,"1,174",25,"1,174",46,
"FoodMazaPos.Cashier.Cashier_Load",0,0.00,432,1.03,210,13,210,28,
"FoodMazaPos.Cashier.Cashier_Load",0,0.00,193,0.46,211,13,211,28,
"FoodMazaPos.Cashier.Cashier_Load",0,0.00,19,0.05,212,13,212,21,
"FoodMazaPos.Cashier.Cashier_Load",0,0.00,2,0.00,213,13,213,39,
"FoodMazaPos.Cashier.Cashier_Load",0,0.00,1,0.00,214,13,214,27,
"FoodMazaPos.Cashier.Cashier_Load",0,0.00,1,0.00,215,13,215,25,
"FoodMazaPos.Cashier.CheckingUserStatus",0,0.00,1,0.00,798,13,798,24,
"FoodMazaPos.Cashier.CheckingUserStatus",0,0.00,1,0.00,802,13,802,37,
"FoodMazaPos.Cashier.CheckInternetavaibility",0,0.00,2,0.00,382,17,382,83,
"FoodMazaPos.Cashier.cLOCKOUTLOGOUTToolStripMenuItem_Click",0,0.00,57,0.14,"1,677",13,"1,677",39,
"FoodMazaPos.Cashier.eXPORTTOEXCELToolStripMenuItem_Click",0,0.00,85,0.20,"1,730",13,"1,730",56,
"FoodMazaPos.Cashier.InitializeComponent",0,0.00,1,0.00,436,13,436,152,
"FoodMazaPos.Cashier.inventoryFunctionality",0,0.00,1,0.00,"1,840",29,"1,840",52,
"FoodMazaPos.Cashier.inventoryFunctionality",0,0.00,1,0.00,"1,879",36,"1,879",76,
"FoodMazaPos.Cashier.inventoryFunctionality",0,0.00,8,0.02,"3,246",29,"3,246",52,
"FoodMazaPos.Cashier.inventoryFunctionality",0,0.00,1,0.00,"3,285",36,"3,285",76,
"FoodMazaPos.Cashier.inventoryFunctionality",0,0.00,1,0.00,"3,359",36,"3,359",76,
"FoodMazaPos.Cashier.inventoryFunctionality",0,0.00,2,0.00,"3,431",29,"3,431",53,
"FoodMazaPos.Cashier.label3Click",0,0.00,1,0.00,504,17,504,29,
"FoodMazaPos.Cashier.label3Click",0,0.00,4,0.01,508,17,508,41,
"FoodMazaPos.Cashier.label3Click",0,0.00,1,0.00,513,21,513,32,
"FoodMazaPos.Cashier.label3Click",0,0.00,20,0.05,516,21,516,34,
"FoodMazaPos.Cashier.label3Click",0,0.00,1,0.00,518,28,518,69,
"FoodMazaPos.Cashier.label3Click",0,0.00,8,0.02,526,33,526,60,
"FoodMazaPos.Cashier.label3Click",0,0.00,1,0.00,532,37,532,38,
"FoodMazaPos.Cashier.label3Click",0,0.00,1,0.00,568,33,577,35,
"FoodMazaPos.Cashier.labelClick",0,0.00,3,0.01,705,17,705,28,
"FoodMazaPos.Cashier.labelClick",0,0.00,7,0.02,709,17,709,41,
"FoodMazaPos.Cashier.labelClick",0,0.00,2,0.00,711,24,711,64,
"FoodMazaPos.Cashier.labelClick",0,0.00,4,0.01,713,21,713,38,
"FoodMazaPos.Cashier.labelClick",0,0.00,1,0.00,715,25,715,78,
"FoodMazaPos.Cashier.Loadcategory",0,0.00,1,0.00,421,17,421,29,
"FoodMazaPos.Cashier.Loadcategory",0,0.00,9,0.02,425,17,425,41,
"FoodMazaPos.Cashier.Loadcategory",0,0.00,4,0.01,430,21,430,32,
"FoodMazaPos.Cashier.Loadcategory",0,0.00,13,0.03,433,21,433,34,
"FoodMazaPos.Cashier.Loadcategory",0,0.00,2,0.00,435,28,435,69,
"FoodMazaPos.Cashier.Loadcategory",0,0.00,1,0.00,441,33,441,86,
"FoodMazaPos.Cashier.Loadcategory",0,0.00,11,0.03,442,33,442,60,
"FoodMazaPos.Cashier.Loadcategory",0,0.00,1,0.00,493,13,493,14,
"FoodMazaPos.Cashier.Loadproducts",0,0.00,1,0.00,604,17,604,29,
"FoodMazaPos.Cashier.Loadproducts",0,0.00,13,0.03,608,17,608,41,
"FoodMazaPos.Cashier.Loadproducts",0,0.00,6,0.01,613,21,613,32,
"FoodMazaPos.Cashier.Loadproducts",0,0.00,24,0.06,616,21,616,34,
"FoodMazaPos.Cashier.Loadproducts",0,0.00,20,0.05,626,33,626,60,
"FoodMazaPos.Cashier.Loadproducts",0,0.00,1,0.00,627,54,627,56,
"FoodMazaPos.Cashier.sALESSUMMARYToolStripMenuItem_Click",0,0.00,38,0.09,"1,724",13,"1,724",50,
"FoodMazaPos.Cashier.sEARCHINVOICESToolStripMenuItem_Click",0,0.00,17,0.04,"1,700",13,"1,700",54,
"FoodMazaPos.Cashier.Timercheckingstock",0,0.00,1,0.00,185,13,185,33,
"FoodMazaPos.Cashier.Timercheckingstock",0,0.00,111,0.27,192,21,192,67,
"FoodMazaPos.Cashier.TrailPeriod",0,0.00,1,0.00,300,17,300,37,
"FoodMazaPos.ExportToExcel.dgv_1",0,0.00,1,0.00,205,13,205,97,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,5,0.01,20,13,20,21,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,1,0.00,21,13,21,21,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,1,0.00,23,13,23,21,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,2,0.00,24,13,24,21,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,1,0.00,25,13,25,21,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,1,0.00,26,13,26,21,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,3,0.01,30,13,30,29,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,4,0.01,31,13,31,29,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,4,0.01,32,13,32,29,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,2,0.00,33,13,33,29,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,5,0.01,34,13,34,29,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",0,0.00,2,0.00,35,13,35,29,
"FoodMazaPos.ExportToExcel.InitializeComponent",0,0.00,1,0.00,899,13,899,150,
"FoodMazaPos.ExportToExcel.LoadGridView1",0,0.00,1,0.00,41,13,41,24,
"FoodMazaPos.ExportToExcel.LoadGridView1",0,0.00,3,0.01,46,13,46,25,
"FoodMazaPos.ExportToExcel.LoadGridView2",0,0.00,1,0.00,78,13,78,24,
"FoodMazaPos.ExportToExcel.LoadGridView3",0,0.00,2,0.00,100,13,100,25,
"FoodMazaPos.ExportToExcel.LoadGridView4",0,0.00,1,0.00,115,13,115,24,
"FoodMazaPos.ExportToExcel.LoadGridView4",0,0.00,1,0.00,120,13,120,25,
"FoodMazaPos.ExportToExcel.LoadGridView6",0,0.00,1,0.00,160,13,160,25,
"FoodMazaPos.Inventory.EstimatingSTockAtTheStartOfDay",0,0.00,2,0.00,458,17,458,39,
"FoodMazaPos.Inventory.EstimatingSTockAtTheStartOfDay",0,0.00,1,0.00,466,28,466,68,
"FoodMazaPos.Inventory.EstimatingSTockAtTheStartOfDay",0,0.00,8,0.02,470,29,470,79,
"FoodMazaPos.Inventory.EstimatingSTockAtTheStartOfDay",0,0.00,1,0.00,481,25,481,47,
"FoodMazaPos.Inventory.EstimatingSTockAtTheStartOfDay",0,0.00,2,0.00,514,25,514,36,
"FoodMazaPos.Inventory.FoucsTextBoxes",0,0.00,1,0.00,617,13,617,39,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,11,0.03,31,13,31,149,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,1,0.00,32,13,32,140,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,2,0.00,37,13,37,140,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,1,0.00,46,13,46,140,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,1,0.00,50,13,50,140,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,18,0.04,58,13,58,87,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,16,0.04,175,13,175,87,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,2,0.00,177,13,177,87,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,1,0.00,331,13,331,53,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,1,0.00,339,13,339,46,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,1,0.00,"1,309",13,"1,309",149,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,1,0.00,"1,798",13,"1,798",160,
"FoodMazaPos.Inventory.InitializeComponent",0,0.00,1,0.00,"2,114",13,"2,114",46,
"FoodMazaPos.Inventory.Inventory_Load",0,0.00,4,0.01,829,13,829,29,
"FoodMazaPos.Inventory.Inventory_Load",0,0.00,9,0.02,830,13,830,29,
"FoodMazaPos.Inventory.Inventory_Load",0,0.00,9,0.02,831,13,831,29,
"FoodMazaPos.Inventory.Inventory_Load",0,0.00,9,0.02,832,13,832,26,
"FoodMazaPos.Inventory.Inventory_Load",0,0.00,16,0.04,833,13,833,26,
"FoodMazaPos.Inventory.Inventory_Load",0,0.00,17,0.04,834,13,834,26,
"FoodMazaPos.Inventory.Inventory_Load",0,0.00,16,0.04,835,13,835,26,
"FoodMazaPos.Inventory.Inventory_Load",0,0.00,1,0.00,836,13,836,21,
"FoodMazaPos.Inventory.Inventory_Load",0,0.00,2,0.00,837,13,837,21,
"FoodMazaPos.Inventory.Inventory_Load",0,0.00,1,0.00,838,13,838,21,
"FoodMazaPos.Inventory.Inventory_Load",0,0.00,1,0.00,839,13,839,30,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,1,0.00,247,13,247,24,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,5,0.01,250,13,250,33,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,6,0.01,257,17,257,29,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,7,0.02,273,13,273,35,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,6,0.01,280,17,280,29,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,6,0.01,295,13,295,35,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,4,0.01,301,17,301,129,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,5,0.01,305,17,305,29,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,1,0.00,324,13,324,35,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,1,0.00,331,17,331,29,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,2,0.00,350,13,350,35,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,3,0.01,357,17,357,29,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,2,0.00,370,13,370,35,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,2,0.00,377,17,377,29,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,1,0.00,399,17,399,29,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,1,0.00,412,13,412,35,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,1,0.00,419,17,419,29,
"FoodMazaPos.Inventory.InventoryHeaderInfo",0,0.00,3,0.01,432,13,432,35,
"FoodMazaPos.Inventory.LoadChart2",0,0.00,1,0.00,735,13,735,108,
"FoodMazaPos.Inventory.LoadChart3",0,0.00,4,0.01,791,13,791,25,
"FoodMazaPos.Inventory.LoadChart3",0,0.00,1,0.00,792,13,792,58,
"FoodMazaPos.Inventory.LoadChart4",0,0.00,6,0.01,763,13,763,25,
"FoodMazaPos.Inventory.LoadChart5",0,0.00,5,0.01,816,13,816,25,
"FoodMazaPos.Inventory.LoadGridView2",0,0.00,1,0.00,181,13,181,24,
"FoodMazaPos.Inventory.LoadGridView3",0,0.00,1,0.00,203,13,203,24,
"FoodMazaPos.Inventory.LoadGridView3",0,0.00,5,0.01,208,13,208,25,
"FoodMazaPos.Inventory.LoadGridView4",0,0.00,4,0.01,229,13,229,25,
"FoodMazaPos.InvoiceDetails.InvoiceDetails_Load",0,0.00,13,0.03,24,13,24,21,
"FoodMazaPos.InvoiceDetails.LoadGridView",0,0.00,3,0.01,38,13,38,25,
"FoodMazaPos.InvoiceDetails.SearchInvoice_Click",0,0.00,1,0.00,115,17,115,28,
"FoodMazaPos.InvoiceDetails.SearchInvoice_Click",0,0.00,1,0.00,120,17,120,29,
"FoodMazaPos.Login..ctor",0,0.00,56,0.13,25,13,25,35,
"FoodMazaPos.Login.btnLogin_Click",0,0.00,1,0.00,49,21,49,43,
"FoodMazaPos.Login.btnLogin_Click",0,0.00,91,0.22,50,21,50,50,
"FoodMazaPos.Program.Main",0,0.00,"35,334",84.52,16,13,16,44,
"FoodMazaPos.SalesSummary..ctor",0,0.00,37,0.09,41,13,41,35,
"FoodMazaPos.SalesSummary.Loadproducts",0,0.00,3,0.01,195,21,195,34,
"FoodMazaPos.SalesSummary.Loadproducts",0,0.00,1,0.00,197,28,197,69,
"FoodMazaPos.SalesSummary.Loadproducts",0,0.00,1,0.00,201,29,201,47,
"FoodMazaPos.SalesSummary.Loadproducts",0,0.00,3,0.01,206,33,206,57,
"FoodMazaPos.SalesSummary.Loadproducts",0,0.00,1,0.00,213,40,213,91,
"FoodMazaPos.SalesSummary.Loadproducts",0,0.00,7,0.02,217,37,217,52,
"FoodMazaPos.SalesSummary.Loadproducts",0,0.00,1,0.00,223,45,223,63,
"FoodMazaPos.SalesSummary.Loadproducts",0,0.00,1,0.00,228,49,228,100,
"FoodMazaPos.SalesSummary.Loadproducts",0,0.00,1,0.00,237,53,237,110,
"FoodMazaPos.SalesSummary.SalesEstimation",0,0.00,3,0.01,54,13,54,35,
"FoodMazaPos.SalesSummary.SalesEstimation",0,0.00,2,0.00,64,17,64,29,
"FoodMazaPos.SalesSummary.SalesEstimation",0,0.00,2,0.00,85,13,85,35,
"FoodMazaPos.SalesSummary.SalesEstimation",0,0.00,4,0.01,95,17,95,29,
"FoodMazaPos.SalesSummary.SalesEstimation",0,0.00,6,0.01,116,13,116,35,
"FoodMazaPos.SalesSummary.SalesEstimation",0,0.00,2,0.00,147,13,147,35,
"FoodMazaPos.SalesSummary.SalesEstimation",0,0.00,2,0.00,157,17,157,29,
"FoodMazaPos.SalesSummary.SalesSummary_Load",0,0.00,82,0.20,47,13,47,28,
"FoodMazaPos.Stocks.btnUpdate_Click",0,0.00,1,0.00,234,21,234,406,
"FoodMazaPos.Stocks.btnUpdate_Click",0,0.00,171,0.41,240,21,240,37,
"FoodMazaPos.Stocks.InitializeComponent",0,0.00,1,0.00,80,13,80,152,
"FoodMazaPos.Stocks.LoadGridView1",0,0.00,3,0.01,300,13,300,25,
"FoodMazaPos.Stocks.Stocks_Load",0,0.00,212,0.51,28,13,28,29,
"FoodMazaPos.updatestocks.LoadGridView1",0,0.00,2,0.00,40,13,40,25,
"FoodMazaPos.updatestocks.ToFillGridview",0,0.00,1,0.00,155,17,155,28,
"FoodMazaPos.updatestocks.ToFillGridview",0,0.00,1,0.00,160,17,160,29,
"FoodMazaPos.updatestocks.updatestocks_Load",0,0.00,87,0.21,26,13,26,29,
"FoodMazaPos.updatestocks.updatestocks_Load",0,0.00,22,0.05,27,13,27,21,
"FoodMazaPos.updatestocks.updatestocks_Load",0,0.00,40,0.10,28,13,28,30,
